,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
56,0.6833,Tue Dec 19 19:18:06 +0000 2017,0.464,0.0,0.536,THIS IS FANTASTIC NEWS! ? https://t.co/fLstdqsVRY,57
57,0.5719,Mon Dec 18 17:03:06 +0000 2017,0.448,0.0,0.552,"Happy birthday, @xtina ? https://t.co/bCZyKwqBcq",58
58,-0.0201,Thu Dec 14 20:36:54 +0000 2017,0.735,0.137,0.128,Here’s a #DEMIxAMAs #TBT. Sorry not sorry. ???? @ddlovato https://t.co/f6ogXS8Sv0,59
59,0.4019,Thu Dec 14 20:30:53 +0000 2017,0.838,0.0,0.162,"RT @NYRE: ? #RockinEve Hollywood Party lineup hosted by @Ciara:

@Alesso
@kanebrown
@BTS_twt
@alessiacara
@kelly_clarkson
@FitzAndTantrums…",60
60,0.5719,Mon Dec 11 18:06:24 +0000 2017,0.519,0.0,0.481,"Happy 21st birthday, @HaileeSteinfeld ? https://t.co/gdkQhN1Jpv",61
61,0.3612,Fri Dec 08 22:25:06 +0000 2017,0.737,0.0,0.263,#FridayFeeling heading into the weekend like ? @marshmellomusic https://t.co/LkMijRQy68,62
62,0.8176,Fri Dec 08 19:10:07 +0000 2017,0.444,0.0,0.556,"Happy birthday to 6-time #AMAs winner, @NICKIMINAJ ? https://t.co/fLLZ5pQBWt",63
63,0.0,Thu Dec 07 22:21:06 +0000 2017,1.0,0.0,0.0,To get to you. ?? #TBT https://t.co/ljOi0uz6IJ,64
64,0.6705,Thu Dec 07 19:03:50 +0000 2017,0.756,0.0,0.244,Send this tweet to someone you hope *takes a hint* about what to get you for the holidays. ? https://t.co/ltJYLC22Am https://t.co/3gW9lr8ptf,65
65,0.0,Mon Dec 04 17:32:54 +0000 2017,1.0,0.0,0.0,Just a reminder that @Pink performed on the side of a skyscraper. #MondayMotivation https://t.co/SQSelMJoqj,66
66,0.4738,Sat Dec 02 15:21:47 +0000 2017,0.819,0.0,0.181,RT @JorgeBlancoG: .@AMAs Thank you for including my new song with @kriskrossadam #GoneIsTheNight!! ?? https://t.co/pVeKBioClD,67
67,0.4199,Sat Dec 02 01:07:12 +0000 2017,0.883,0.0,0.117,I made you a playlist of new tunes to get you ready for the weekend called Friday First Listen! Bump to these tunes… https://t.co/uqD5Dq3luL,68
68,0.0,Fri Dec 01 22:21:34 +0000 2017,1.0,0.0,0.0,"RT @TraceeEllisRoss: Got to meet @BTS_twt at the @AMAS! ?#AMAs #FBF
?: @CatieLaffoon https://t.co/Vt3lhiCIdL",69
69,0.0,Fri Dec 01 21:25:41 +0000 2017,1.0,0.0,0.0,RT @thegreatkhalid: ??? https://t.co/UgUbQh3V2n,70
70,0.4753,Fri Dec 01 21:04:50 +0000 2017,0.853,0.0,0.147,"This year, we invited inspiring photographers and music fans to photograph the #AMAs red carpet! The unbreakable bo… https://t.co/P2MjbH7XG3",71
71,0.6239,Fri Dec 01 19:42:46 +0000 2017,0.328,0.0,0.672,@Iggy_proof @ladygaga Amazing!,72
72,0.6166,Fri Dec 01 19:20:54 +0000 2017,0.498,0.0,0.502,TGIF mood. ?? @alessiacara https://t.co/b0JQseXDlh,73
73,0.0,Thu Nov 30 20:38:50 +0000 2017,1.0,0.0,0.0,"#TBT to that time @selenagomez rocked the #AMAs red carpet in leather and blonde hair. ? #SELENAxAMAs 

?:… https://t.co/OV3Px5Hidk",74
74,0.3612,Thu Nov 30 18:37:33 +0000 2017,0.872,0.0,0.128,"""Thank you to our fans for making this happen for us. This is insane."" 

@TheChainsmokers #TBT #AMAs https://t.co/5yKV6WuA6i",75
75,0.4588,Wed Nov 29 22:21:53 +0000 2017,0.842,0.0,0.158,RT @billboard: BTS surge up the album &amp; song charts following their American Music Awards performance https://t.co/mjvQsKRqml,76
76,-0.1531,Wed Nov 29 22:07:28 +0000 2017,0.652,0.348,0.0,?? I miss #BTSxAMAs https://t.co/4FbfHoZCH5,77
77,0.4019,Wed Nov 29 18:34:42 +0000 2017,0.803,0.0,0.197,"""Take a moment to appreciate what you've got and #MakeChesterProud."" @linkinpark #AMAs https://t.co/SpoO0hSXnK",78
78,0.0,Wed Nov 29 01:09:53 +0000 2017,1.0,0.0,0.0,A touching moment between @xtina and Pat Houston after her tribute to Whitney Houston at the #AMAs. ?… https://t.co/IWFG8sd4vJ,79
79,0.0,Tue Nov 28 18:25:00 +0000 2017,1.0,0.0,0.0,"OH... hello there, @AnselElgort ? #AMAs https://t.co/UTPHOCjs3q",80
80,0.3818,Mon Nov 27 22:02:39 +0000 2017,0.536,0.0,0.464,Stunning. ? @violadavis x #AMAs https://t.co/u1zfoClfFy,81
81,0.4404,Mon Nov 27 20:15:06 +0000 2017,0.775,0.0,0.225,"Hey, @NiallOfficial ? That #AMAs trophy looks good on you. #NIALLxAMAs https://t.co/liagWh3Xbx",82
82,0.8811,Sun Nov 26 18:28:26 +0000 2017,0.394,0.0,0.606,"HE THE BEST! ?? Happy birthday, @djkhaled! https://t.co/QriBqT9e4h",83
83,0.5093,Fri Nov 24 21:36:00 +0000 2017,0.732,0.0,0.268,"What was your favorite @NickJonas #AMAs moment? Tweet me!

https://t.co/2WAdKcqYgr",84
84,0.6249,Fri Nov 24 19:22:00 +0000 2017,0.773,0.0,0.227,"If I could have just one ounce of @ddlovato's fierceness, life would be great. #DEMIxAMAs 

https://t.co/4mwc0s1n7w",85
85,0.0,Fri Nov 24 17:38:17 +0000 2017,1.0,0.0,0.0,RT @HannahStocking: this is so accurate ? https://t.co/NUqyilfE9u,86
86,0.0,Fri Nov 24 17:31:58 +0000 2017,1.0,0.0,0.0,#ARMYxAMAs! There are still #BTSxAMAs pins and patches available. Get them here ?? https://t.co/ltJYLC22Am and twee… https://t.co/9gcqPaczJo,87
87,0.8268,Fri Nov 24 03:38:00 +0000 2017,0.645,0.0,0.355,"When you look around you and are thankful for everything you have

Happy Thanksgiving! https://t.co/Li9fO8PmIi https://t.co/xDTb4IkHN5",88
88,0.3595,Fri Nov 24 02:20:01 +0000 2017,0.604,0.166,0.23,"When you’re trying to get a game of football going but everyone’s too tired

Happy Thanksgiving!… https://t.co/F1tPUdT7K8",89
89,0.8221,Fri Nov 24 01:36:00 +0000 2017,0.678,0.0,0.322,"When you’re sitting at the kids table and trying to make the baby laugh

Happy Thanksgiving! https://t.co/Li9fO8PmIi https://t.co/QseqRPCb2e",90
90,0.7263,Fri Nov 24 00:15:00 +0000 2017,0.697,0.0,0.303,"When you overhear your parents bragging about how well you’re doing in school

Happy Thanksgiving!… https://t.co/6Y2pE63asU",91
91,0.7771,Thu Nov 23 22:35:00 +0000 2017,0.746,0.0,0.254,"When your mouth just wants to keep eating but your stomach can’t take any more

Happy Thanksgiving!… https://t.co/7kna3wgHiF",92
92,0.75,Thu Nov 23 21:15:00 +0000 2017,0.513,0.107,0.38,"When your uncles get into a hilarious argument that you have to share

Happy Thanksgiving! https://t.co/Li9fO96Y6S https://t.co/MK0TgGBK6a",93
93,0.7901,Thu Nov 23 20:12:00 +0000 2017,0.682,0.0,0.318,"When you’re the only one watching sports on TV and your favorite team scores

Happy Thanksgiving!… https://t.co/ntpwAZxFkR",94
94,0.7901,Thu Nov 23 19:00:00 +0000 2017,0.667,0.0,0.333,"When you reunite with your favorite cousin that you haven’t seen in a year

Happy Thanksgiving!… https://t.co/rugCp43yU4",95
95,0.0,Thu Nov 23 18:22:18 +0000 2017,1.0,0.0,0.0,RT @TheEllenShow: Andy Zenor hit the red carpet of the #AMAs with the biggest stars and a lot of drinking. https://t.co/ti5WLBK1vH,96
96,0.0,Thu Nov 23 18:19:27 +0000 2017,1.0,0.0,0.0,RT @xtina: #amas x @vevo https://t.co/j4ZlZlU21e #whitneyxchristina https://t.co/6yXtPFDeDH,97
97,-0.0516,Thu Nov 23 18:09:41 +0000 2017,0.688,0.178,0.134,"When your phone gives you the wrong directions to your dinner and you’re now in a strange part of town

Happy Thank… https://t.co/OFexjdS4L4",98
98,0.5954,Thu Nov 23 01:37:05 +0000 2017,0.771,0.0,0.229,S/O to @portugaltheman. ?? We had so much fun at the #AMAs w you! https://t.co/6D4EZ0qn8V,99
99,0.8176,Thu Nov 23 00:00:02 +0000 2017,0.615,0.0,0.385,"V thankful for all of the amazing collaborations the #AMAs brings together each year. ?

https://t.co/F6cJmA8iJO",100
