,Date,Tweet
75,Wed Dec 20 19:07:12 +0000 2017,I had my ? fingers crossed ? that @Imaginedragons and @thegreatkhalid would release their Thunder / Young Dumb &amp; Br… https://t.co/njPiNXc5th
76,Tue Dec 19 19:18:06 +0000 2017,THIS IS FANTASTIC NEWS! ? https://t.co/fLstdqsVRY
77,Mon Dec 18 17:03:06 +0000 2017,"Happy birthday, @xtina ? https://t.co/bCZyKwqBcq"
78,Thu Dec 14 20:36:54 +0000 2017,Here’s a #DEMIxAMAs #TBT. Sorry not sorry. ???? @ddlovato https://t.co/f6ogXS8Sv0
79,Thu Dec 14 20:30:53 +0000 2017,"RT @NYRE: ? #RockinEve Hollywood Party lineup hosted by @Ciara:

@Alesso
@kanebrown
@BTS_twt
@alessiacara
@kelly_clarkson
@FitzAndTantrums…"
80,Mon Dec 11 18:06:24 +0000 2017,"Happy 21st birthday, @HaileeSteinfeld ? https://t.co/gdkQhN1Jpv"
81,Fri Dec 08 22:25:06 +0000 2017,#FridayFeeling heading into the weekend like ? @marshmellomusic https://t.co/LkMijRQy68
82,Fri Dec 08 19:10:07 +0000 2017,"Happy birthday to 6-time #AMAs winner, @NICKIMINAJ ? https://t.co/fLLZ5pQBWt"
83,Thu Dec 07 22:21:06 +0000 2017,To get to you. ?? #TBT https://t.co/ljOi0uz6IJ
84,Thu Dec 07 19:03:50 +0000 2017,Send this tweet to someone you hope *takes a hint* about what to get you for the holidays. ? https://t.co/ltJYLC22Am https://t.co/3gW9lr8ptf
85,Mon Dec 04 17:32:54 +0000 2017,Just a reminder that @Pink performed on the side of a skyscraper. #MondayMotivation https://t.co/SQSelMJoqj
86,Sat Dec 02 15:21:47 +0000 2017,RT @JorgeBlancoG: .@AMAs Thank you for including my new song with @kriskrossadam #GoneIsTheNight!! ?? https://t.co/pVeKBioClD
87,Sat Dec 02 01:07:12 +0000 2017,I made you a playlist of new tunes to get you ready for the weekend called Friday First Listen! Bump to these tunes… https://t.co/uqD5Dq3luL
88,Fri Dec 01 22:21:34 +0000 2017,"RT @TraceeEllisRoss: Got to meet @BTS_twt at the @AMAS! ?#AMAs #FBF
?: @CatieLaffoon https://t.co/Vt3lhiCIdL"
89,Fri Dec 01 21:25:41 +0000 2017,RT @thegreatkhalid: ??? https://t.co/UgUbQh3V2n
90,Fri Dec 01 21:04:50 +0000 2017,"This year, we invited inspiring photographers and music fans to photograph the #AMAs red carpet! The unbreakable bo… https://t.co/P2MjbH7XG3"
