,Date,Tweet
88,Wed May 23 18:58:49 +0000 2018,"""Almost a year ago, [we] dreamed of creating a more diverse #musicfestival culture that celebrates the artistry, in… https://t.co/L3McdWmCjr"
89,Wed May 23 17:02:09 +0000 2018,"RT @GRAMMYMuseum: We're happy to announce our 2018 Jane Ortner Education Award recipient, Lois MacMillan! Learn how the Oregon-based teache…"
90,Wed May 23 16:32:03 +0000 2018,"While the album 'Sparrow' has a different feel from @AshleyMonroe's earlier work, it also feels undeniably authenti… https://t.co/sBj4rKjsIb"
91,Wed May 23 16:12:31 +0000 2018,"RT @ellefsondavid: A fun day at The Grammy’s in LA today talking music, coffee and Musicares! @RecordingAcad #GRAMMYs @ellefsoncoffee #musi…"
92,Wed May 23 14:12:03 +0000 2018,#ICYMI ? The 19th @LatinGRAMMYs will be held Nov. 15 and broadcast live on @Univision from @MGMGrand in #LasVegas:… https://t.co/0k3pOJSLTU
93,Wed May 23 13:01:02 +0000 2018,Sony Corporation will acquire the stake in EMI Music Publishing currently held by Mubadala Investment Company with… https://t.co/aUeKUInArF
94,Wed May 23 01:00:05 +0000 2018,"Seven months was a long wait but at long last, @BobSeger has recovered sufficiently from the cervical laminectomy s… https://t.co/TXN61HeEYB"
95,Wed May 23 00:19:01 +0000 2018,"Ahead of @gunsnroses massive 'Locked N' Loaded' box set, the band has given fans a taste of the buried treasure by… https://t.co/tmhJnhatU4"
96,Tue May 22 23:05:21 +0000 2018,"?Music has the power to speak and convey a message for those who need it the most. What song(s) speak to you? ??

?… https://t.co/TKV6SdF93X"
97,Tue May 22 22:08:02 +0000 2018,"As this year's @EDC_LasVegas wraps up in Sin City, the festival looks back at the highlights and announce the dates… https://t.co/MEWmp8NDAJ"
98,Tue May 22 21:04:58 +0000 2018,"RT @ashleymonroe: The least awkward way I could pose with a sign.

Loved talking with the @recordingacad. 
Full interview: https://t.co/x8E…"
99,Tue May 22 20:36:02 +0000 2018,Did you know GRAMMY-winner @eltonofficial entertained wedding guests at a lunchtime reception following the nuptial… https://t.co/gIzNot83Of
100,Tue May 22 19:14:02 +0000 2018,".@taylornation13's chart dominance is anything but ""Delicate."" Interestingly, however, it's that exact song that ha… https://t.co/gfKzlKVooJ"
101,Tue May 22 18:04:46 +0000 2018,"Yes, we agree with GRAMMY winner @eltonofficial! ?What song(s) are on your playlist to break free? 

? Browse throu… https://t.co/R0FEdsBvR0"
102,Tue May 22 16:48:02 +0000 2018,"Last week @SZA teased that a video for ""#Garden (Say It Like That)"" would be coming shortly. And now she's made goo… https://t.co/je4V0RJ4UI"
103,Tue May 22 14:37:02 +0000 2018,"In an era where artists are as liberated as ever to blend genres, there are few combinations left unexplored, a fac… https://t.co/NHL8mq8plQ"
104,Tue May 22 12:45:04 +0000 2018,"GRAMMY winners @thebandGHOST released a new video, ""Dance Macabre,"" with cameos from @Metallica's Kirk Hammett,… https://t.co/P6S7G1vgBY"
105,Tue May 22 03:12:36 +0000 2018,RT @GRAMMYMuseum: We're now LIVE on #Facebook with GRAMMY winner @NeYoCompound! Tune in: https://t.co/O4AGZLeHCG https://t.co/6yL5teY2Cr
106,Tue May 22 02:30:02 +0000 2018,TUNE IN! We're 30 minutes away from the @GRAMMYMuseum's  #FacebookLive with three-time GRAMMY winner @NeYoCompound!… https://t.co/Cgb8qZx3sP
107,Tue May 22 01:37:47 +0000 2018,RT @GRAMMYMuseum: Tonight three-time GRAMMY winner @NeYoCompound joins us for a conversation ahead of the release of his new album 'Good Ma…
108,Mon May 21 22:50:02 +0000 2018,"From genre-crossing mavericks to authentic songwriters and trendsetting artists, find out how the current… https://t.co/NFuO23Cguj"
109,Mon May 21 20:46:02 +0000 2018,"Clocking in at over 45 minutes with a six track-list, 'Band Of Gypsys' marked a departure from @JimiHendrix's tradi… https://t.co/La3zhQ4986"
110,Mon May 21 18:20:04 +0000 2018,".@IAmCardiB dropped a new video today for the third single from her debut album, 'Invasion Of Privacy.' 

Watch the… https://t.co/Ihb4CE0czw"
111,Mon May 21 17:16:42 +0000 2018,RT @LisaLoeb: It’s here! Our #GRAMMY for #FeelWhatUFeel arrived from @RecordingAcad! #unboxing https://t.co/HRNfUBCIVW https://t.co/3xPBbx0…
112,Mon May 21 16:40:04 +0000 2018,.@GretaVanFleet have been described to the likes of @LedZeppelin. They've performed at @eltonofficial's #Oscars par… https://t.co/BLZ2q60erU
113,Mon May 21 15:48:26 +0000 2018,"RT @GRAMMYAdvocacy: We're working to improve the lives of all music creators, and your support is critical. By telling #Congress to pass th…"
114,Mon May 21 15:15:30 +0000 2018,"The stars were out last night in Sin City for this year's @BBMAs!
Hosted by @Kelly_Clarkson, the evening included m… https://t.co/xO21aIVCAC"
115,Mon May 21 00:55:01 +0000 2018,"This summer, 88 #highschool students will be immersed in the recording industry their sights are set on. See how th… https://t.co/YVYWZfHR7l"
116,Sun May 20 22:19:08 +0000 2018,"Things we learned about @KeithUrban on this week's episode of the @GRAMMYMuseum's #RequiredListening podcast:
1?. J… https://t.co/VgXF5Ee5YU"
117,Sun May 20 19:03:02 +0000 2018,"RT if you agree with Demi Lovato (@ddlovato)!  ? ??? 

Follow @MusiCares and learn how music can help:… https://t.co/yFvcAWHYcv"
118,Sun May 20 17:01:01 +0000 2018,"Hitting theaters on July 6, the documentary 'Whitney' pulls exclusive archival footage and interviews from… https://t.co/LdM98MyWuC"
119,Sun May 20 15:11:02 +0000 2018,"Many arts programs nationwide depend on critical funding from the National Endowment For The Arts (@NEAarts). 

Lea… https://t.co/Ho54zE3OTX"
120,Sun May 20 01:19:01 +0000 2018,"If you ask @AniDiFranco's fans to describe her music, they'll tell you that it unites and empowers.

From connectin… https://t.co/5YLv7KkrPK"
121,Sat May 19 23:43:02 +0000 2018,"Leaving their career as a group behind, @FifthHarmony warns about empty words while moving on to inspire future fan… https://t.co/IVx1fwvoVx"
122,Sat May 19 21:03:01 +0000 2018,"According to @MentalHealthAm, 43 percent of people with #mentalhealth problems are more likely to have no insurance… https://t.co/UIP5tro9zW"
123,Sat May 19 19:48:00 +0000 2018,"""I wrote these things from a selfless place in my heart because there's so many people out there struggling, and I… https://t.co/XVmu7f7B6T"
124,Sat May 19 15:17:02 +0000 2018,"The wait is over for the @BTS_twt fans, as their new album 'Love Yourself: Tear' is now available along with a bran… https://t.co/HVeTZ0ycwx"
125,Sat May 19 00:09:02 +0000 2018,"The GRAMMY-winning electronic music trio, @CleanBandit, teams up with Demi Lovato (@ddlovato) for an infectious new… https://t.co/0h0ZQE9wZV"
126,Fri May 18 22:32:01 +0000 2018,"""Like A Prayer"" answered, the ""Material Girl"" seems to have some new ""Music"" in the works, and it's coming soon.

G… https://t.co/PWrpfMKXSM"
127,Fri May 18 20:22:00 +0000 2018,"Emerging from the thrash metal underground to the GRAMMY stage, @Metallica broke new ground with the 1988 release o… https://t.co/46En2TewIU"
