,Date,Tweet
103,Thu May 31 01:32:00 +0000 2018,"I'm sorry for yelling, but I really need a @ShawnMendes and @Zedd collab!!! ??? https://t.co/WH53th9rkP"
104,Thu May 31 00:33:00 +0000 2018,".@JLo takes us behind the scenes of the ""Dinero"" music video ft. @iamcardib + @djkhaled: https://t.co/Kdf4GaQvgH ? https://t.co/vXmNbm3sxT"
105,Thu May 31 00:00:00 +0000 2018,Kendrick Lamar took a break from the TDE Championship Tour to accept his Pulitzer prize for DAMN.:… https://t.co/4p81ULcaXd
106,Wed May 30 23:31:00 +0000 2018,"I'll be wearing this rainbow eye look for the rest of my life, tysm @RitaOra ? https://t.co/6DqsqU97Lu"
107,Wed May 30 23:00:01 +0000 2018,This child support battle is getting MESSY ? https://t.co/5zjuAKvADy
108,Wed May 30 22:27:00 +0000 2018,Here's a lil' #WednesdayWisdom of @ddlovato speaking about true friends ? https://t.co/d4T2V5sZ6q
109,Wed May 30 22:02:00 +0000 2018,16 songs that will give you allllll the graduation feels: https://t.co/ydd7qF2AMo ? https://t.co/x6zeyBUsan
110,Wed May 30 21:24:00 +0000 2018,"So, uh, @SnoopDogg just set the record for the world's largest gin &amp; juice and it's the best thing I've seen today:… https://t.co/9Apqsnjf1L"
111,Wed May 30 21:08:29 +0000 2018,"?

@HayleyKiyoko 
@Kehlani https://t.co/KopNXuZKer"
112,Wed May 30 21:00:00 +0000 2018,Would you rather be an #Entertainer like @zaynmalik or #Entertain like @Sleater_Kinney? ? https://t.co/24hOskusIW
113,Wed May 30 20:48:41 +0000 2018,Oh snap! @brycevine will be performing at the FREE #WangoTango Village this Saturday! ? https://t.co/ICdiCsOnwl
114,Wed May 30 20:27:00 +0000 2018,"After about six months and hundreds of tweets, but @Weezer finally released a cover of Toto's 1982 hit, ""Africa"" on… https://t.co/ffhkiQvWYi"
115,Wed May 30 20:00:01 +0000 2018,Kim Kardashian will be meeting with Trump today to discuss prison reform: https://t.co/giOjWYkZG3 https://t.co/RrUWSA5UNs
116,Wed May 30 19:34:09 +0000 2018,"Blessing your feed with our mother monster, @ladygaga  ? https://t.co/LFnLhevBFA"
117,Wed May 30 19:00:02 +0000 2018,? @LiamPayne just announced his first headlining show at the Beacon Theatre on June 20: https://t.co/wCEFWTxDV6 https://t.co/mE5zXrz0Lv
118,Wed May 30 18:56:34 +0000 2018,RT @KISSFMPhoenix: The guys of @5SOS will be at our @iHeartRadio #WangoTango this Saturday! Will you be there too?! Get ticket info here #5…
119,Wed May 30 18:30:01 +0000 2018,"Fingers crossed that @ShawnMendes + @5SOS actually stage dive together at #WangoTango this Saturday ? 

https://t.co/GLM8l8mpOJ"
120,Wed May 30 18:00:00 +0000 2018,Did Pusha T just confirm that Drake has a secret baby? Listen to his diss track: https://t.co/s1CFdLKxQg ? https://t.co/FMrn271r7g
121,Wed May 30 17:05:56 +0000 2018,1000000% sure this pic just cast a spell on me ??? https://t.co/oCma2Rlz0I
122,Wed May 30 17:02:00 +0000 2018,"Happy birthday, @RealRemyMa! ? https://t.co/10y3ypctc4"
